"PAREDINT","BOOKSHOME","TECH","READ_AVG"
12,1,1.1577,226.4125
16,4,1.3869,484.9334
9,3,0.0291,402.8269
12,4,0.2412,484.6
16,4,-0.3059,418.652
9,3,-0.6,476.0129
16,4,0.2028,480.5509
6,1,-0.0574,491.5029
16,3,0.5666,373.8717
14.5,2,1.3413,445.683
9,2,1.7714,341.2226
12,3,0.7912,530.3919
12,2,0.183,633.3021
16,4,0.0636,656.8386
12,2,0.1939,416.972
12,4,-0.5434,428.3498
16,4,0.2801,442.1145
16,4,1.1605,627.7838
16,4,-0.4067,558.6357
16,6,0.6543,408.5544
12,4,-0.2812,595.2799
16,4,-0.4646,672.1007
14.5,4,0.1891,411.9453
16,4,1.8133,289.7884
12,3,-0.6,497.2607
16,4,-0.1114,562.9442
16,6,-1.0792,611.6888
16,2,0.7653,486.8228
16,2,0.1403,568.4505
16,4,-0.5829,404.5475
16,6,1.1985,630.1651
6,1,0.7159,405.8223
12,4,-0.9363,638.9378
9,2,-0.6,313.7807
12,2,0.6887,416.9802
16,4,0.8105,378.3061
12,3,-0.3732,525.664
14.5,4,1.1605,625.4401
16,3,0.4222,524.2987
12,3,0.5621,538.907
16,1,-0.9887,367.039
12,2,0.5166,401.2959
16,4,0.7374,652.8608
9,1,-0.8787,471.1039
12,3,-1.0619,419.7953
12,3,0.1106,454.1681
16,3,-0.0073,570.634
16,2,0.6953,540.1381
14.5,4,0.9131,495.229
12,3,0.4383,541.2008
14.5,4,1.2422,488.355
16,3,-0.5191,719.1293
12,4,-0.5824,535.9883
12,2,0.6116,547.1588
16,4,0.8511,638.2178
12,1,-0.8741,500.7577
16,4,-0.8905,512.6097
9,1,-1.6165,433.5992
9,4,0.2596,394.8504
12,3,-0.6094,553.5098
12,6,0.3924,596.4201
12,2,0.5612,374.6796
6,4,-1.1374,525.1505
14.5,3,0.4484,469.7504
12,2,0.9006,449.4278
16,2,0.9758,594.2079
16,3,-1.1739,624.876
14.5,3,-0.2067,373.4779
12,4,1.0229,467.4685
14.5,2,-0.6776,578.3756
14.5,4,-0.3295,744.6389
16,2,-0.1622,485.3559
16,2,-0.6259,483.1301
12,1,1.6041,459.7907
12,4,1.0229,536.4865
16,2,-0.6632,448.2439
12,2,-0.9684,396.7028
12,4,1.2768,459.5414
16,6,0.9813,567.9588
16,3,0.2953,473.5707
12,3,-1.441,570.0379
14.5,3,0.5166,543.7593
16,4,2.3295,396.7199
16,6,0.1428,625.4585
16,4,-0.0683,398.8106
16,4,0.1428,520.0316
16,4,0.4114,575.9889
16,4,1.8411,304.6151
12,2,1.1315,420.7486
14.5,2,-0.3762,457.0678
12,1,-0.7086,390.7351
16,6,1.7188,556.5388
9,4,-0.5567,551.8729
9,3,0.0655,474.0533
16,6,0.1337,553.4996
16,2,1.0924,555.7659
16,2,-1.9117,358.5381
16,2,-0.5887,446.3122
16,2,-0.4016,517.8566
12,4,1.6041,404.0037
14.5,2,0.4706,456.1049
16,4,1.1183,354.3052
12,3,-0.1622,488.7743
16,3,0.4888,360.9057
16,3,-0.3724,541.168
12,3,0.4946,527.4674
12,4,-0.102,443.3288
16,7,2.2578,521.5245
12,6,0.5211,465.0947
16,3,0.8006,443.9117
16,4,3.7685,398.686
16,4,1.2777,596.5129
16,6,0.4389,478.7824
12,4,-0.3436,528.4201
12,6,0.7159,489.2715
12,1,0.715,408.3139
